;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
1,30001,1.0,1.9,1.93,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,46112,0.0,0.0,0.0,3,BOX ELDER
2,30002,15.1,46.5,3.08,3.6,1.0,2.6,0.0,8.9,1.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.9,46112,0.0,0.0,0.0,3,BOX ELDER
3,30003,5.0,12.6,2.51,2.6,0.0,2.6,0.0,2.9,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,46112,0.0,0.0,0.0,3,BOX ELDER
4,30004,21.0,40.6,1.93,18.6,1.0,15.5,2.1,100.9,1.0,0.0,0.0,15.5,0.0,0.0,0.0,2.1,62.7,0.0,18.3,1.2,46112,0.0,0.0,0.0,3,BOX ELDER
5,30005,30.2,79.6,2.63,67.2,0.0,67.2,0.0,70.3,0.0,0.0,0.0,67.2,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.8,46112,0.0,0.0,0.0,3,BOX ELDER
6,30006,15.1,43.6,2.89,43.6,1.0,42.6,0.0,49.9,1.0,0.0,0.0,42.6,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.9,46112,0.0,0.0,0.0,3,BOX ELDER
7,30007,0.0,0.0,0.0,112.5,0.0,110.4,2.1,129.0,0.0,0.0,60.0,50.4,0.0,0.0,0.0,2.1,14.3,0.0,2.2,0.0,55022,0.0,0.0,0.0,3,BOX ELDER
8,30008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55022,0.0,0.0,0.0,3,BOX ELDER
9,30009,12.1,48.6,4.02,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,55022,0.0,0.0,0.0,3,BOX ELDER
10,30010,55.4,165.5,2.99,10.0,2.0,0.0,8.0,18.2,2.0,0.0,0.0,0.0,0.0,0.0,1.6,6.4,0.0,0.0,4.9,3.3,57798,0.0,0.0,0.0,3,BOX ELDER
11,30011,37.3,121.2,3.25,5.4,0.0,1.3,4.1,12.1,0.0,0.0,0.0,1.3,3.3,0.0,0.8,0.0,0.0,0.0,4.5,2.2,57798,0.0,0.0,0.0,3,BOX ELDER
12,30012,1.0,1.9,1.93,42.6,4.0,32.2,6.4,43.6,4.0,0.0,2.5,29.7,0.0,0.0,0.0,6.4,0.0,0.0,0.9,0.1,57798,0.0,0.0,0.0,3,BOX ELDER
13,30013,137.9,449.5,3.26,41.0,7.0,1.3,32.7,76.8,4.0,3.0,0.0,1.3,0.0,32.7,0.0,0.0,0.0,0.0,27.7,8.1,57798,0.0,0.0,0.0,3,BOX ELDER
14,30014,6.0,12.6,2.09,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,54617,0.0,0.0,0.0,3,BOX ELDER
15,30015,3.0,6.8,2.25,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,58870,0.0,0.0,0.0,3,BOX ELDER
16,30016,15.1,58.2,3.85,1.3,0.0,1.3,0.0,6.7,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.9,58870,0.0,0.0,0.0,3,BOX ELDER
17,30017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58870,0.0,0.0,0.0,3,BOX ELDER
18,30018,5.0,14.6,2.89,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,58870,0.0,0.0,0.0,3,BOX ELDER
